month,city,precipitation_6
1,勐腊,8.4
1,厦门,5.0
1,汕头,4.9
1,东台,4.5
1,梅县,4.3
1,朝阳,4.2
1,吕泗,3.7
1,南岳,3.6
1,黄山,3.4
1,杭州,3.4
2,汕头,6.2
2,广州,5.1
2,韶关,4.5
2,南昌,4.4
2,钦州,4.3
2,蒙山,4.3
2,高要,4.1
2,平潭,4.1
2,思茅,3.9
2,梅县,3.7
3,固始,9.4
3,阜阳,8.9
3, 吉安县,7.7
3,武夷山,7.5
3,合肥,7.1
3,浦城,6.7
3,高要,6.5
3,韶关,6.5
3,广州,6.3
3,宝山,6.1
4,通道,3.1
4, 吉安县,2.9
4,长汀,2.8
4,邵武,2.6
4,武夷山,2.5
4,永州,2.4
4,郴州,2.4
4,芜湖县,2.3
4,浦城,2.3
4,黄山,2.3
5,蒙山,5.0
5,佛冈,4.3
5,南岳,4.1
5,广南,3.7
5,儋州,3.6
5,香港,3.6
5,琼海,3.5
5,钦州,3.4
5,上川岛,3.4
5,汕头,3.4
6,桂林,7.1
6,连平,6.8
6,定日,6.7
6,蒙山,6.2
6,佛冈,6.0
6,韶关,5.9
6,武夷山,5.5
6,景德镇,5.3
6,河源,5.2
6,巴塘,4.9
7,泰山,4.5
7,达川,3.3
7,狮泉河,3.1
7,赣榆,3.0
7,徐州,2.9
7,北京,2.9
7,武都,2.8
7,高坪,2.8
7,宽甸,2.8
7,彰武,2.7
8,上川岛,6.0
8,阳江,4.8
8,香港,4.4
8,深圳,4.3
8,温江,3.9
8,汕尾,3.4
8,北海,3.0
8,思茅,2.9
8,信宜,2.9
8,钦州,2.9
9,湛江,3.9
9,江城,3.8
9,琼海,2.8
9,阳江,2.7
9,林芝,2.3
9,海口,2.3
9,昆明,2.2
9,宽甸,2.2
9,儋州,2.1
9,丹东,2.1
10,琼海,3.7
10,海口,2.6
10,儋州,2.3
10,安康,2.1
10,万源,1.9
10,达川,1.8
10,驻马店,1.7
10,泰山,1.5
10,华山,1.4
10,老河口,1.4
11,邵武,2.7
11,上川岛,2.6
11,琼海,2.6
11,广昌,2.3
11,寻乌,2.0
11,佛冈,2.0
11,南城,2.0
11,南昌,1.8
11,韶关,1.8
11,梅县,1.8
12,清原,2.3
12,色达,2.0
12,桦甸,1.9
12,长春,1.9
12,集安,1.4
12,四平,1.3
12,临江,1.2
12,黄山,1.0
12,克山,0.9
12,丹东,0.9
